ticker,date,close_price,ma_7day,ma_21day,ma_50day
AAPL,2023-02-07,154.65,154.65,154.65,154.65
AAPL,2023-02-08,151.92,153.29,153.29,153.29
AAPL,2023-02-09,150.87,152.48,152.48,152.48
AAPL,2023-02-10,151.01,152.11,152.11,152.11
AAPL,2023-02-13,153.85,152.46,152.46,152.46
AAPL,2023-02-14,153.20,152.58,152.58,152.58
AAPL,2023-02-15,155.33,152.98,152.98,152.98
AAPL,2023-02-16,153.71,152.84,153.07,153.07
AAPL,2023-02-17,152.55,152.93,153.01,153.01
AAPL,2023-02-21,148.48,152.59,152.56,152.56
AAPL,2023-02-22,148.91,152.29,152.23,152.23
AAPL,2023-02-23,149.40,151.65,151.99,151.99
AAPL,2023-02-24,146.71,150.73,151.58,151.58
AAPL,2023-02-27,147.92,149.67,151.32,151.32
AAPL,2023-02-28,147.41,148.77,151.06,151.06
AAPL,2023-03-01,145.31,147.73,150.70,150.70
AAPL,2023-03-02,145.91,147.37,150.42,150.42
AAPL,2023-03-03,151.03,147.67,150.45,150.45
AAPL,2023-03-06,153.83,148.30,150.63,150.63
AAPL,2023-03-07,151.60,149.00,150.68,150.68
AAPL,2023-03-08,152.87,149.71,150.78,150.78
AAPL,2023-03-09,150.59,150.16,150.59,150.78
AAPL,2023-03-10,148.50,150.62,150.43,150.68
AAPL,2023-03-13,150.47,151.27,150.41,150.67
AAPL,2023-03-14,152.59,151.49,150.48,150.74
AAPL,2023-03-15,152.99,151.37,150.44,150.83
AAPL,2023-03-16,155.85,151.98,150.57,151.02
AAPL,2023-03-17,155.00,152.28,150.55,151.16
AAPL,2023-03-20,157.40,153.26,150.73,151.37
AAPL,2023-03-21,159.28,154.80,151.05,151.64
AAPL,2023-03-22,157.83,155.85,151.50,151.84
AAPL,2023-03-23,158.93,156.75,151.97,152.06
AAPL,2023-03-24,160.25,157.79,152.49,152.31
AAPL,2023-03-27,158.28,158.14,153.04,152.48
AAPL,2023-03-28,157.65,158.52,153.50,152.63
AAPL,2023-03-29,160.77,159.00,154.14,152.86
AAPL,2023-03-30,162.36,159.44,154.95,153.11
AAPL,2023-03-31,164.90,160.45,155.86,153.42
AAPL,2023-04-03,166.17,161.48,156.58,153.75
AAPL,2023-04-04,165.63,162.25,157.14,154.05
AAPL,2023-04-05,163.76,163.03,157.72,154.28
AAPL,2023-04-06,164.66,164.04,158.28,154.53
AAPL,2023-04-10,162.03,164.22,158.82,154.71
AAPL,2023-04-11,160.80,163.99,159.41,154.84
AAPL,2023-04-12,160.10,163.31,159.87,154.96
AAPL,2023-04-13,165.56,163.22,160.49,155.19
AAPL,2023-04-14,165.21,163.16,161.07,155.40
AAPL,2023-04-17,165.23,163.37,161.51,155.61
AAPL,2023-04-18,166.47,163.63,162.06,155.83
AAPL,2023-04-19,167.63,164.43,162.55,156.07
AAPL,2023-04-20,166.65,165.26,162.90,156.31
AAPL,2023-04-21,165.02,165.97,163.24,156.57
AAPL,2023-04-24,165.33,165.93,163.55,156.86
AAPL,2023-04-25,163.77,165.73,163.71,157.11
AAPL,2023-04-26,163.76,165.52,163.97,157.31
AAPL,2023-04-27,168.41,165.80,164.49,157.62
AAPL,2023-04-28,169.68,166.09,164.91,157.90
AAPL,2023-05-01,169.59,166.51,165.26,158.22
AAPL,2023-05-02,168.54,167.01,165.43,158.54
AAPL,2023-05-03,167.45,167.31,165.49,158.92
AAPL,2023-05-04,165.79,167.60,165.50,159.26
AAPL,2023-05-05,173.57,169.00,165.96,159.74
GOOG,2023-02-07,108.04,108.04,108.04,108.04
GOOG,2023-02-08,100.00,104.02,104.02,104.02
GOOG,2023-02-09,95.46,101.17,101.17,101.17
GOOG,2023-02-10,94.86,99.59,99.59,99.59
GOOG,2023-02-13,95.00,98.67,98.67,98.67
GOOG,2023-02-14,94.95,98.05,98.05,98.05
GOOG,2023-02-15,97.10,97.92,97.92,97.92
GOOG,2023-02-16,95.78,96.16,97.65,97.65
GOOG,2023-02-17,94.59,95.39,97.31,97.31
GOOG,2023-02-21,92.05,94.90,96.78,96.78
GOOG,2023-02-22,91.80,94.47,96.33,96.33
GOOG,2023-02-23,91.07,93.91,95.89,95.89
GOOG,2023-02-24,89.35,93.11,95.39,95.39
GOOG,2023-02-27,90.10,92.11,95.01,95.01
GOOG,2023-02-28,90.30,91.32,94.70,94.70
GOOG,2023-03-01,90.51,90.74,94.44,94.44
GOOG,2023-03-02,92.31,90.78,94.31,94.31
GOOG,2023-03-03,94.02,91.09,94.29,94.29
GOOG,2023-03-06,95.58,91.74,94.36,94.36
GOOG,2023-03-07,94.17,92.43,94.35,94.35
GOOG,2023-03-08,94.65,93.08,94.37,94.37
GOOG,2023-03-09,92.66,93.41,93.63,94.29
GOOG,2023-03-10,91.01,93.49,93.21,94.15
GOOG,2023-03-13,91.66,93.39,93.02,94.04
GOOG,2023-03-14,94.25,93.43,93.00,94.05
GOOG,2023-03-15,96.55,93.56,93.07,94.15
GOOG,2023-03-16,101.07,94.55,93.36,94.40
GOOG,2023-03-17,102.46,95.67,93.62,94.69
GOOG,2023-03-20,101.93,96.99,93.91,94.94
GOOG,2023-03-21,105.84,99.11,94.44,95.30
GOOG,2023-03-22,104.22,100.90,95.02,95.59
GOOG,2023-03-23,106.26,102.62,95.71,95.93
GOOG,2023-03-24,106.06,103.98,96.43,96.23
GOOG,2023-03-27,103.06,104.26,97.08,96.43
GOOG,2023-03-28,101.36,104.10,97.62,96.57
GOOG,2023-03-29,101.90,104.10,98.17,96.72
GOOG,2023-03-30,101.32,103.45,98.68,96.85
GOOG,2023-03-31,104.00,103.42,99.24,97.03
GOOG,2023-04-03,104.91,103.23,99.76,97.24
GOOG,2023-04-04,105.12,103.10,100.21,97.43
GOOG,2023-04-05,104.95,103.37,100.73,97.62
GOOG,2023-04-06,108.90,104.44,101.40,97.89
GOOG,2023-04-10,106.95,105.16,102.08,98.10
GOOG,2023-04-11,106.12,105.85,102.80,98.28
GOOG,2023-04-12,105.22,106.02,103.45,98.43
GOOG,2023-04-13,108.19,106.49,104.11,98.64
GOOG,2023-04-14,109.46,107.11,104.73,98.87
GOOG,2023-04-17,106.42,107.32,104.98,99.03
GOOG,2023-04-18,105.12,106.78,105.11,99.16
GOOG,2023-04-19,105.02,106.51,105.26,99.27
GOOG,2023-04-20,105.90,106.48,105.26,99.23
GOOG,2023-04-21,105.91,106.57,105.34,99.35
GOOG,2023-04-24,106.78,106.37,105.37,99.58
GOOG,2023-04-25,104.61,105.68,105.30,99.77
GOOG,2023-04-26,104.45,105.40,105.36,99.96
GOOG,2023-04-27,108.37,105.86,105.70,100.23
GOOG,2023-04-28,108.22,106.32,106.00,100.45
GOOG,2023-05-01,107.71,106.58,106.30,100.69
GOOG,2023-05-02,105.98,106.59,106.40,100.92
GOOG,2023-05-03,106.12,106.49,106.45,101.20
GOOG,2023-05-04,105.21,106.58,106.46,101.47
GOOG,2023-05-05,106.21,106.83,106.52,101.77
MSFT,2023-02-07,267.56,267.56,267.56,267.56
MSFT,2023-02-08,266.73,267.15,267.15,267.15
MSFT,2023-02-09,263.62,265.97,265.97,265.97
MSFT,2023-02-10,263.10,265.25,265.25,265.25
MSFT,2023-02-13,271.32,266.47,266.47,266.47
MSFT,2023-02-14,272.17,267.42,267.42,267.42
MSFT,2023-02-15,269.32,267.69,267.69,267.69
MSFT,2023-02-16,262.15,266.92,267.00,267.00
MSFT,2023-02-17,258.06,265.68,266.00,266.00
MSFT,2023-02-21,252.67,264.11,264.67,264.67
MSFT,2023-02-22,251.51,262.46,263.47,263.47
MSFT,2023-02-23,254.77,260.09,262.75,262.75
MSFT,2023-02-24,249.22,256.81,261.71,261.71
MSFT,2023-02-27,250.16,254.08,260.88,260.88
MSFT,2023-02-28,249.42,252.26,260.12,260.12
MSFT,2023-03-01,246.27,250.57,259.25,259.25
MSFT,2023-03-02,251.11,250.35,258.77,258.77
MSFT,2023-03-03,255.29,250.89,258.58,258.58
MSFT,2023-03-06,256.87,251.19,258.49,258.49
MSFT,2023-03-07,254.15,251.90,258.27,258.27
MSFT,2023-03-08,253.70,252.40,258.06,258.06
MSFT,2023-03-09,252.32,252.82,257.33,257.80
MSFT,2023-03-10,248.59,253.15,256.47,257.39
MSFT,2023-03-13,253.92,253.55,256.00,257.25
MSFT,2023-03-14,260.79,254.33,255.89,257.39
MSFT,2023-03-15,265.44,255.56,255.61,257.70
MSFT,2023-03-16,276.20,258.71,255.81,258.39
MSFT,2023-03-17,279.43,262.38,256.29,259.14
MSFT,2023-03-20,272.23,265.23,256.77,259.59
MSFT,2023-03-21,273.78,268.83,257.52,260.06
MSFT,2023-03-22,272.29,271.45,258.45,260.46
MSFT,2023-03-23,277.66,273.86,259.70,260.99
MSFT,2023-03-24,280.57,276.02,260.92,261.59
MSFT,2023-03-27,276.38,276.05,262.22,262.02
MSFT,2023-03-28,275.23,275.45,263.41,262.40
MSFT,2023-03-29,280.51,276.63,264.89,262.90
MSFT,2023-03-30,284.05,278.10,266.69,263.47
MSFT,2023-03-31,288.30,280.39,268.46,264.13
MSFT,2023-04-03,287.23,281.75,269.98,264.72
MSFT,2023-04-04,287.18,282.70,271.43,265.28
MSFT,2023-04-05,284.34,283.83,272.86,265.75
MSFT,2023-04-06,291.60,286.17,274.67,266.36
MSFT,2023-04-10,289.39,287.44,276.43,266.90
MSFT,2023-04-11,282.83,287.27,278.06,267.26
MSFT,2023-04-12,283.49,286.58,279.47,267.62
MSFT,2023-04-13,289.84,286.95,280.86,268.10
MSFT,2023-04-14,286.14,286.80,281.84,268.49
MSFT,2023-04-17,288.80,287.44,282.44,268.91
MSFT,2023-04-18,288.37,286.98,282.87,269.31
MSFT,2023-04-19,288.45,286.85,283.64,269.69
MSFT,2023-04-20,286.11,287.31,284.23,270.06
MSFT,2023-04-21,285.76,287.64,284.87,270.44
MSFT,2023-04-24,281.77,286.49,285.06,270.81
MSFT,2023-04-25,275.42,284.95,284.82,271.05
MSFT,2023-04-26,295.37,285.89,285.72,271.53
MSFT,2023-04-27,304.83,288.24,287.13,272.19
MSFT,2023-04-28,307.26,290.93,288.41,272.94
MSFT,2023-05-01,305.56,293.71,289.43,273.81
MSFT,2023-05-02,305.41,296.52,290.25,274.76
MSFT,2023-05-03,304.40,299.75,291.06,275.79
MSFT,2023-05-04,305.41,304.03,291.93,276.87
MSFT,2023-05-05,310.65,306.22,293.18,277.99
NFLX,2023-02-07,362.95,362.95,362.95,362.95
NFLX,2023-02-08,366.83,364.89,364.89,364.89
NFLX,2023-02-09,362.50,364.09,364.09,364.09
NFLX,2023-02-10,347.36,359.91,359.91,359.91
NFLX,2023-02-13,358.57,359.64,359.64,359.64
NFLX,2023-02-14,359.96,359.70,359.70,359.70
NFLX,2023-02-15,361.42,359.94,359.94,359.94
NFLX,2023-02-16,350.71,358.19,358.79,358.79
NFLX,2023-02-17,347.96,355.50,357.58,357.58
NFLX,2023-02-21,337.50,351.93,355.58,355.58
NFLX,2023-02-22,334.88,350.14,353.69,353.69
NFLX,2023-02-23,323.65,345.15,351.19,351.19
NFLX,2023-02-24,317.15,339.04,348.57,348.57
NFLX,2023-02-27,323.03,333.55,346.75,346.75
NFLX,2023-02-28,322.13,329.47,345.11,345.11
NFLX,2023-03-01,313.48,324.55,343.13,343.13
NFLX,2023-03-02,311.88,320.89,341.29,341.29
NFLX,2023-03-03,315.18,318.07,339.84,339.84
NFLX,2023-03-06,312.03,316.41,338.38,338.38
NFLX,2023-03-07,308.47,315.17,336.88,336.88
NFLX,2023-03-08,311.79,313.57,335.69,335.69
NFLX,2023-03-09,297.78,310.09,332.58,333.96
NFLX,2023-03-10,292.76,307.13,329.06,332.17
NFLX,2023-03-13,293.51,304.50,325.77,330.56
NFLX,2023-03-14,294.94,301.61,323.28,329.14
NFLX,2023-03-15,303.79,300.43,320.67,328.16
NFLX,2023-03-16,310.06,300.66,318.29,327.49
NFLX,2023-03-17,303.50,299.48,315.53,326.63
NFLX,2023-03-20,305.13,300.53,313.36,325.89
NFLX,2023-03-21,305.79,302.39,311.35,325.22
NFLX,2023-03-22,293.90,302.44,309.28,324.21
NFLX,2023-03-23,320.37,306.08,308.59,324.09
NFLX,2023-03-24,328.39,309.59,308.81,324.22
NFLX,2023-03-27,327.66,312.11,309.31,324.32
NFLX,2023-03-28,323.52,314.97,309.34,324.30
NFLX,2023-03-29,332.03,318.81,309.81,324.52
NFLX,2023-03-30,338.43,323.47,311.00,324.89
NFLX,2023-03-31,345.48,330.84,312.60,325.43
NFLX,2023-04-03,348.28,334.83,314.17,326.02
NFLX,2023-04-04,346.75,337.45,315.83,326.54
NFLX,2023-04-05,342.35,339.55,317.44,326.92
NFLX,2023-04-06,339.33,341.81,318.75,327.22
NFLX,2023-04-10,338.99,342.80,320.71,327.49
NFLX,2023-04-11,338.21,342.77,322.88,327.74
NFLX,2023-04-12,331.03,340.71,324.66,327.81
NFLX,2023-04-13,346.19,340.41,327.10,328.21
NFLX,2023-04-14,338.63,339.25,328.76,328.43
NFLX,2023-04-17,332.72,337.87,329.84,328.52
NFLX,2023-04-18,333.70,337.07,331.28,328.63
NFLX,2023-04-19,323.12,334.80,332.14,328.52
NFLX,2023-04-20,325.35,332.96,333.07,327.76
NFLX,2023-04-21,327.98,332.53,334.69,326.99
NFLX,2023-04-24,329.02,330.07,335.10,326.32
NFLX,2023-04-25,322.55,327.78,334.82,325.82
NFLX,2023-04-26,321.15,326.12,334.51,325.07
NFLX,2023-04-27,325.85,325.00,334.63,324.39
NFLX,2023-04-28,329.93,325.98,334.53,323.76
NFLX,2023-05-01,324.12,325.80,333.84,323.23
NFLX,2023-05-02,317.55,324.31,332.51,322.62
NFLX,2023-05-03,319.30,322.92,331.13,322.26
NFLX,2023-05-04,320.78,322.67,329.90,321.97
NFLX,2023-05-05,322.76,322.90,328.96,321.96
