ticker,date,close_price,daily_return_pct
NFLX,2023-03-23,320.37,9.0065
MSFT,2023-04-26,295.37,7.2435
AAPL,2023-05-05,173.57,4.6927
GOOG,2023-03-16,101.07,4.6815
NFLX,2023-04-13,346.19,4.5796
MSFT,2023-03-16,276.20,4.0536
GOOG,2023-03-21,105.84,3.8360
GOOG,2023-04-06,108.90,3.7637
GOOG,2023-04-27,108.37,3.7530
AAPL,2023-03-03,151.03,3.5090
AAPL,2023-04-13,165.56,3.4104
NFLX,2023-02-13,358.57,3.2272
MSFT,2023-04-27,304.83,3.2028
MSFT,2023-02-13,271.32,3.1243
NFLX,2023-03-15,303.79,3.0006
AAPL,2023-04-27,168.41,2.8395
GOOG,2023-03-14,94.25,2.8257
GOOG,2023-04-13,108.19,2.8227
MSFT,2023-03-14,260.79,2.7056
GOOG,2023-03-31,104.00,2.6451
